CODE;NAME;WUTS4;WUTS3;WUTS2;WUTS1
DNK;Denmark;W1111;W111;W11;W1
FIN;Finland;W1111;W111;W11;W1
GBR;United Kingdom;W1111;W111;W11;W1
GRL;Greenland;W1111;W111;W11;W1
IRL;Ireland;W1111;W111;W11;W1
ISL;Iceland;W1111;W111;W11;W1
NOR;Norway;W1111;W111;W11;W1
SWE;Sweden;W1111;W111;W11;W1
AUT;Austria;W1112;W111;W11;W1
BEL;Belgium;W1112;W111;W11;W1
CHE;Switzerland;W1112;W111;W11;W1
DEU;Germany;W1112;W111;W11;W1
FRA;France;W1112;W111;W11;W1
LUX;Luxembourg;W1112;W111;W11;W1
NLD;Netherlands;W1112;W111;W11;W1
CYP;Cyprus;W1113;W111;W11;W1
ESP;Spain;W1113;W111;W11;W1
GRC;Greece;W1113;W111;W11;W1
ITA;Italy;W1113;W111;W11;W1
MLT;Malta;W1113;W111;W11;W1
PRT;Portugal;W1113;W111;W11;W1
CZE;Czech Republic;W1121;W112;W11;W1
EST;Estonia;W1121;W112;W11;W1
HUN;Hungary;W1121;W112;W11;W1
LTU;Lithuania;W1121;W112;W11;W1
LVA;Latvia;W1121;W112;W11;W1
POL;Poland;W1121;W112;W11;W1
SVK;Slovakia;W1121;W112;W11;W1
SVN;Slovenia;W1121;W112;W11;W1
ALB;Albania;W1122;W112;W11;W1
BGR;Bulgaria;W1122;W112;W11;W1
BIH;Bosnia and Herzegovina;W1122;W112;W11;W1
HRV;Croatia;W1122;W112;W11;W1
MKD;Macedonia, TFYR;W1122;W112;W11;W1
ROU;Romania;W1122;W112;W11;W1
SCG;Serbia/Montenegro;W1122;W112;W11;W1
TUR;Turkey;W1122;W112;W11;W1
ARM;Armenia;W1123;W112;W11;W1
AZE;Azerbaijan;W1123;W112;W11;W1
BLR;Belarus;W1123;W112;W11;W1
GEO;Georgia;W1123;W112;W11;W1
MDA;Moldova, Rep. of;W1123;W112;W11;W1
UKR;Ukraine;W1123;W112;W11;W1
RUS;Russian Federation;W1124;W112;W11;W1
DZA;Algeria;W1211;W121;W12;W1
ESH;West Sahara;W1211;W121;W12;W1
LBY;Libyan Arab Jamahiriya;W1211;W121;W12;W1
MAR;Morocco;W1211;W121;W12;W1
TUN;Tunisia;W1211;W121;W12;W1
EGY;Egypt;W1212;W121;W12;W1
ISR;Israel;W1212;W121;W12;W1
JOR;Jordan;W1212;W121;W12;W1
LBN;Lebanon;W1212;W121;W12;W1
SYR;Syrian Arab Republic;W1212;W121;W12;W1
WBG;Occupied Palestinian Territories;W1212;W121;W12;W1
KAZ;Kazakhstan;W1221;W122;W12;W1
KGZ;Kyrgyzstan;W1221;W122;W12;W1
TJK;Tajikistan;W1221;W122;W12;W1
TKM;Turkmenistan;W1221;W122;W12;W1
UZB;Uzbekistan;W1221;W122;W12;W1
ARE;United Arab Emirates;W1222;W122;W12;W1
BHR;Bahrain;W1222;W122;W12;W1
IRN;Iran, Islamic Rep. of;W1222;W122;W12;W1
IRQ;Iraq;W1222;W122;W12;W1
KWT;Kuwait;W1222;W122;W12;W1
OMN;Oman;W1222;W122;W12;W1
QAT;Qatar;W1222;W122;W12;W1
SAU;Saudi Arabia;W1222;W122;W12;W1
YEM;Yemen;W1222;W122;W12;W1
COD;Congo, Dem. Rep. of the;W1311;W131;W13;W1
CAF;Central African Republic;W1312;W131;W13;W1
CMR;Cameroon;W1312;W131;W13;W1
COG;Congo;W1312;W131;W13;W1
GAB;Gabon;W1312;W131;W13;W1
GNQ;Equatorial Guinea;W1312;W131;W13;W1
TCD;Chad;W1312;W131;W13;W1
BDI;Burundi;W1321;W132;W13;W1
DJI;Djibouti;W1321;W132;W13;W1
ERI;Eritrea;W1321;W132;W13;W1
ETH;Ethiopia;W1321;W132;W13;W1
KEN;Kenya;W1321;W132;W13;W1
MDG;Madagascar;W1321;W132;W13;W1
MUS;Mauritius;W1321;W132;W13;W1
RWA;Rwanda;W1321;W132;W13;W1
SDN;Sudan;W1321;W132;W13;W1
SOM;Somalia;W1321;W132;W13;W1
UGA;Uganda;W1321;W132;W13;W1
NGA;Nigeria;W1331;W133;W13;W1
BEN;Benin;W1332;W133;W13;W1
BFA;Burkina Faso;W1332;W133;W13;W1
CIV;Côte d'Ivoire;W1332;W133;W13;W1
GHA;Ghana;W1332;W133;W13;W1
GIN;Guinea;W1332;W133;W13;W1
GMB;Gambia;W1332;W133;W13;W1
GNB;Guinea-Bissau;W1332;W133;W13;W1
LBR;Liberia;W1332;W133;W13;W1
MLI;Mali;W1332;W133;W13;W1
MRT;Mauritania;W1332;W133;W13;W1
NER;Niger;W1332;W133;W13;W1
SEN;Senegal;W1332;W133;W13;W1
SLE;Sierra Leone;W1332;W133;W13;W1
TGO;Togo;W1332;W133;W13;W1
ZAF;South Africa;W1341;W134;W13;W1
AGO;Angola;W1342;W134;W13;W1
BWA;Botswana;W1342;W134;W13;W1
LSO;Lesotho;W1342;W134;W13;W1
MOZ;Mozambique;W1342;W134;W13;W1
MWI;Malawi;W1342;W134;W13;W1
NAM;Namibia;W1342;W134;W13;W1
SWZ;Swaziland;W1342;W134;W13;W1
TZA;Tanzania, U. Rep. of;W1342;W134;W13;W1
ZMB;Zambia;W1342;W134;W13;W1
ZWE;Zimbabwe;W1342;W134;W13;W1
CAN;Canada;W2101;W210;W21;W2
USA;United States;W2102;W210;W21;W2
MEX;Mexico;W2103;W210;W21;W2
BHS;Bahamas;W2212;W221;W22;W2
BLZ;Belize;W2212;W221;W22;W2
CRI;Costa Rica;W2212;W221;W22;W2
CUB;Cuba;W2212;W221;W22;W2
DOM;Dominican Republic;W2212;W221;W22;W2
GTM;Guatemala;W2212;W221;W22;W2
HND;Honduras;W2212;W221;W22;W2
HTI;Haiti;W2212;W221;W22;W2
JAM;Jamaica;W2212;W221;W22;W2
NIC;Nicaragua;W2212;W221;W22;W2
PAN;Panama;W2212;W221;W22;W2
PRI;Puerto Rico;W2212;W221;W22;W2
SLV;El Salvador;W2212;W221;W22;W2
TTO;Trinidad and Tobago;W2212;W221;W22;W2
BOL;Bolivia;W2213;W221;W22;W2
COL;Colombia;W2213;W221;W22;W2
ECU;Ecuador;W2213;W221;W22;W2
GUY;Guyana;W2213;W221;W22;W2
PER;Peru;W2213;W221;W22;W2
SUR;Suriname;W2213;W221;W22;W2
VEN;Venezuela;W2213;W221;W22;W2
BRA;Brazil;W2221;W222;W22;W2
ARG;Argentina;W2222;W222;W22;W2
CHL;Chile;W2222;W222;W22;W2
PRY;Paraguay;W2222;W222;W22;W2
URY;Uruguay;W2222;W222;W22;W2
CHN;China;W3111;W311;W31;W3
MNG;Mongolia;W3112;W311;W31;W3
PRK;North Korea;W3112;W311;W31;W3
IND;India;W3121;W312;W31;W3
AFG;Afghanistan;W3122;W312;W31;W3
BGD;Bangladesh;W3122;W312;W31;W3
BTN;Bhutan;W3122;W312;W31;W3
LKA;Sri Lanka;W3122;W312;W31;W3
MMR;Myanmar;W3122;W312;W31;W3
NPL;Nepal;W3122;W312;W31;W3
PAK;Pakistan;W3122;W312;W31;W3
KHM;Cambodia;W3133;W313;W31;W3
LAO;Lao People's Dem.  Rep.;W3133;W313;W31;W3
THA;Thailand;W3133;W313;W31;W3
VNM;Viet Nam;W3133;W313;W31;W3
JPN;Japan;W3211;W321;W32;W3
KOR;Korea, Rep. of;W3212;W321;W32;W3
TWN;Taiwan;W3212;W321;W32;W3
IDN;Indonesia;W3221;W322;W32;W3
MYS;Malaysia;W3222;W322;W32;W3
PHL;Philippines;W3222;W322;W32;W3
PNG;Papua New Guinea;W3222;W322;W32;W3
SGP;Singapore;W3222;W322;W32;W3
AUS;Australia;W3231;W323;W32;W3
FJI;Fiji;W3232;W323;W32;W3
NZL;New Zealand;W3232;W323;W32;W3
