AFG;Afghanistan;W3122
AGO;Angola;W1342
ALB;Albania;W1122
AND;Andorra;XXX
ARE;United Arab Emirates;W1222
ARG;Argentina;W2222
ARM;Armenia;W1123
ATG;Antigua and Barbuda;XXX
AUS;Australia;W3231
AUT;Austria;W1112
AZE;Azerbaijan;W1123
BDI;Burundi;W1321
BEL;Belgium;W1112
BEN;Benin;W1332
BFA;Burkina Faso;W1332
BGD;Bangladesh;W3122
BGR;Bulgaria;W1122
BHR;Bahrain;W1222
BHS;Bahamas;W2212
BIH;Bosnia and Herzegovina;W1122
BLR;Belarus;W1123
BLZ;Belize;W2212
BOL;Bolivia;W2213
BRA;Brazil;W2221
BRB;Barbados;XXX
BRN;Brunei Darussalam;XXX
BTN;Bhutan;W3122
BWA;Botswana;W1342
CAF;Central African Republic;W1312
CAN;Canada;W2101
CCK;Cocos (Keeling) Islands;XXX
CHE;Switzerland;W1112
CHL;Chile;W2222
CHN;China;W3111
CIV;Côte d'Ivoire;W1332
CMR;Cameroon;W1312
COD;Congo, Dem. Rep. of the;W1311
COG;Congo;W1312
COK;Cook Islands;XXX
COL;Colombia;W2213
COM;Comoros;XXX
CPV;Cabo Verde;XXX
CRI;Costa Rica;W2212
CUB;Cuba;W2212
CYP;Cyprus;W1113
CZE;Czech Republic;W1121
DEU;Germany;W1112
DJI;Djibouti;W1321
DMA;Dominica;XXX
DNK;Denmark;W1111
DOM;Dominican Republic;W2212
DZA;Algeria;W1211
ECU;Ecuador;W2213
EGY;Egypt;W1212
ERI;Eritrea;W1321
ESP;Spain;W1113
EST;Estonia;W1121
ETH;Ethiopia;W1321
FIN;Finland;W1111
FJI;Fiji;W3232
FRA;France;W1112
FSM;Micronesia (Federated States of);XXX
GAB;Gabon;W1312
GBR;United Kingdom;W1111
GEO;Georgia;W1123
GHA;Ghana;W1332
GIN;Guinea;W1332
GMB;Gambia;W1332
GNB;Guinea-Bissau;W1332
GNQ;Equatorial Guinea;W1312
GRC;Greece;W1113
GRL;Greenland;W1111
GTM;Guatemala;W2212
GUY;Guyana;W2213
HKG;Hong Kong;XXX
HND;Honduras;W2212
HRV;Croatia;W1122
HTI;Haiti;W2212
HUN;Hungary;W1121
IDN;Indonesia;W3221
IND;India;W3121
IRL;Ireland;W1111
IRN;Iran, Islamic Rep. of;W1222
IRQ;Iraq;W1222
ISL;Iceland;W1111
ISR;Israel;W1212
ITA;Italy;W1113
JAM;Jamaica;W2212
JOR;Jordan;W1212
JPN;Japan;W3211
KAZ;Kazakhstan;W1221
KEN;Kenya;W1321
KGZ;Kyrgyzstan;W1221
KHM;Cambodia;W3133
KIR;Kiribati;XXX
KOR;Korea, Rep. of;W3212
KWT;Kuwait;W1222
LAO;Lao People's Dem.  Rep.;W3133
LBN;Lebanon;W1212
LBR;Liberia;W1332
LBY;Libyan Arab Jamahiriya;W1211
LCA;Saint Lucia;XXX
LIE;Liechtenstein;XXX
LKA;Sri Lanka;W3122
LSO;Lesotho;W1342
LTU;Lithuania;W1121
LUX;Luxembourg;W1112
LVA;Latvia;W1121
