"RATE";"AGG1";"AGG2";"VALUE";"INFORMATION_LOSS";"SIZE_REDUCTION"
0;"0";"0";1;0;0
0;"1";"0";1;0;0
0;"2";"0";1;0;0
0;"3";"0";1;0;0
0;"4";"0";0;0;0
0;"5";"0";0;0;0
0;"6";"0";0;0;0
0;"7";"0";0;0;0
0;"0";"1";1;0;0
0;"1";"1";1;0;0
0;"2";"1";1;0;0
0;"3";"1";1;0;0
0;"4";"1";0;0;0
0;"5";"1";0;0;0
0;"6";"1";0;0;0
0;"7";"1";0;0;0
0;"0";"2";1;0;0
0;"1";"2";1;0;0
0;"2";"2";1;0;0
0;"3";"2";1;0;0
0;"4";"2";0;0;0
0;"5";"2";0;0;0
0;"6";"2";0;0;0
0;"7";"2";0;0;0
0;"0";"3";1;0;0
0;"1";"3";1;0;0
0;"2";"3";1;0;0
0;"3";"3";1;0;0
0;"4";"3";0;0;0
0;"5";"3";0;0;0
0;"6";"3";0;0;0
0;"7";"3";0;0;0
0;"0";"4";1;0;0
0;"1";"4";1;0;0
0;"2";"4";1;0;0
0;"3";"4";1;0;0
0;"4";"4";0;0;0
0;"5";"4";0;0;0
0;"6";"4";3;0;0
0;"7";"4";3;0;0
0;"0";"5";1;0;0
0;"1";"5";1;0;0
0;"2";"5";1;0;0
0;"3";"5";1;0;0
0;"4";"5";0;0;0
0;"5";"5";0;0;0
0;"6";"5";3;0;0
0;"7";"5";3;0;0
0;"0";"6";2;0;0
0;"1";"6";2;0;0
0;"2";"6";2;0;0
0;"3";"6";2;0;0
0;"4";"6";2;0;0
0;"5";"6";2;0;0
0;"6";"6";3;0;0
0;"7";"6";3;0;0
0;"0";"7";2;0;0
0;"1";"7";2;0;0
0;"2";"7";2;0;0
0;"3";"7";2;0;0
0;"4";"7";2;0;0
0;"5";"7";2;0;0
0;"6";"7";3;0;0
0;"7";"7";3;0;0
6.103515625e-05;"0,1,2,3";"0,1,2,3,4,5";24;-0;0.365079365079365
6.103515625e-05;"4,5";"0,1,2,3,4,5";0;0;0.174603174603175
6.103515625e-05;"0,1,2,3,4,5";"6,7";24;0;0.174603174603175
6.103515625e-05;"6,7";"0,1,2,3";0;0;0.111111111111111
6.103515625e-05;"6,7";"4,5,6,7";24;0;0.111111111111111
0.91412353515625;"0,1,2,3";"0,1,2,3";16;-0;0.238095238095238
0.91412353515625;"4,5,6,7";"0,1,2,3";0;0;0.238095238095238
0.91412353515625;"0,1,2,3,4,5,6,7";"4,5,6,7";56;0.337865542497573;0.492063492063492
0.95294189453125;"0,1,2,3,4,5,6,7";"0,1,2,3";16;0.321256111953761;0.492063492063492
0.95294189453125;"0,1,2,3,4,5,6,7";"4,5,6,7";56;0.337865542497573;0.492063492063492
0.95556640625;"0,1,2,3,4,5,6,7";"0,1,2,3,4,5,6,7";72;1;1
