"RATE";"AGG1";"AGG2";"VALUE";"INFORMATION_LOSS";"SIZE_REDUCTION"
0.000000;"0";"0";0.004630;0.000000;0.000000
0.000000;"1";"0";0.009259;0.000000;0.000000
0.000000;"2";"0";0.009259;0.000000;0.000000
0.000000;"3";"0";0.018519;0.000000;0.000000
0.000000;"4";"0";0.009259;0.000000;0.000000
0.000000;"5";"0";0.018519;0.000000;0.000000
0.000000;"6";"0";0.018519;0.000000;0.000000
0.000000;"7";"0";0.037037;0.000000;0.000000
0.000000;"0";"1";0.009259;0.000000;0.000000
0.000000;"1";"1";0.004630;0.000000;0.000000
0.000000;"2";"1";0.018519;0.000000;0.000000
0.000000;"3";"1";0.009259;0.000000;0.000000
0.000000;"4";"1";0.018519;0.000000;0.000000
0.000000;"5";"1";0.009259;0.000000;0.000000
0.000000;"6";"1";0.037037;0.000000;0.000000
0.000000;"7";"1";0.018519;0.000000;0.000000
0.000000;"0";"2";0.009259;0.000000;0.000000
0.000000;"1";"2";0.018519;0.000000;0.000000
0.000000;"2";"2";0.004630;0.000000;0.000000
0.000000;"3";"2";0.009259;0.000000;0.000000
0.000000;"4";"2";0.018519;0.000000;0.000000
0.000000;"5";"2";0.037037;0.000000;0.000000
0.000000;"6";"2";0.009259;0.000000;0.000000
0.000000;"7";"2";0.018519;0.000000;0.000000
0.000000;"0";"3";0.018519;0.000000;0.000000
0.000000;"1";"3";0.009259;0.000000;0.000000
0.000000;"2";"3";0.009259;0.000000;0.000000
0.000000;"3";"3";0.004630;0.000000;0.000000
0.000000;"4";"3";0.037037;0.000000;0.000000
0.000000;"5";"3";0.018519;0.000000;0.000000
0.000000;"6";"3";0.018519;0.000000;0.000000
0.000000;"7";"3";0.009259;0.000000;0.000000
0.000000;"0";"4";0.009259;0.000000;0.000000
0.000000;"1";"4";0.018519;0.000000;0.000000
0.000000;"2";"4";0.018519;0.000000;0.000000
0.000000;"3";"4";0.037037;0.000000;0.000000
0.000000;"4";"4";0.004630;0.000000;0.000000
0.000000;"5";"4";0.009259;0.000000;0.000000
0.000000;"6";"4";0.009259;0.000000;0.000000
0.000000;"7";"4";0.018519;0.000000;0.000000
0.000000;"0";"5";0.018519;0.000000;0.000000
0.000000;"1";"5";0.009259;0.000000;0.000000
0.000000;"2";"5";0.037037;0.000000;0.000000
0.000000;"3";"5";0.018519;0.000000;0.000000
0.000000;"4";"5";0.009259;0.000000;0.000000
0.000000;"5";"5";0.004630;0.000000;0.000000
0.000000;"6";"5";0.018519;0.000000;0.000000
0.000000;"7";"5";0.009259;0.000000;0.000000
0.000000;"0";"6";0.018519;0.000000;0.000000
0.000000;"1";"6";0.037037;0.000000;0.000000
0.000000;"2";"6";0.009259;0.000000;0.000000
0.000000;"3";"6";0.018519;0.000000;0.000000
0.000000;"4";"6";0.009259;0.000000;0.000000
0.000000;"5";"6";0.018519;0.000000;0.000000
0.000000;"6";"6";0.004630;0.000000;0.000000
0.000000;"7";"6";0.009259;0.000000;0.000000
0.000000;"0";"7";0.037037;0.000000;0.000000
0.000000;"1";"7";0.018519;0.000000;0.000000
0.000000;"2";"7";0.018519;0.000000;0.000000
0.000000;"3";"7";0.009259;0.000000;0.000000
