"RATE";"AGG1";"AGG2";"VALUE";"INFORMATION_LOSS";"SIZE_REDUCTION"
0.000000;"0";"0";0.125000;0.000000;0.000000
0.000000;"1";"0";0.000000;0.000000;0.000000
0.000000;"2";"0";0.000000;0.000000;0.000000
0.000000;"3";"0";0.000000;0.000000;0.000000
0.000000;"4";"0";0.000000;0.000000;0.000000
0.000000;"5";"0";0.000000;0.000000;0.000000
0.000000;"6";"0";0.000000;0.000000;0.000000
0.000000;"7";"0";0.000000;0.000000;0.000000
0.000000;"0";"1";0.000000;0.000000;0.000000
0.000000;"1";"1";0.125000;0.000000;0.000000
0.000000;"2";"1";0.000000;0.000000;0.000000
0.000000;"3";"1";0.000000;0.000000;0.000000
0.000000;"4";"1";0.000000;0.000000;0.000000
0.000000;"5";"1";0.000000;0.000000;0.000000
0.000000;"6";"1";0.000000;0.000000;0.000000
0.000000;"7";"1";0.000000;0.000000;0.000000
0.000000;"0";"2";0.000000;0.000000;0.000000
0.000000;"1";"2";0.000000;0.000000;0.000000
0.000000;"2";"2";0.125000;0.000000;0.000000
0.000000;"3";"2";0.000000;0.000000;0.000000
0.000000;"4";"2";0.000000;0.000000;0.000000
0.000000;"5";"2";0.000000;0.000000;0.000000
0.000000;"6";"2";0.000000;0.000000;0.000000
0.000000;"7";"2";0.000000;0.000000;0.000000
0.000000;"0";"3";0.000000;0.000000;0.000000
0.000000;"1";"3";0.000000;0.000000;0.000000
0.000000;"2";"3";0.000000;0.000000;0.000000
0.000000;"3";"3";0.125000;0.000000;0.000000
0.000000;"4";"3";0.000000;0.000000;0.000000
0.000000;"5";"3";0.000000;0.000000;0.000000
0.000000;"6";"3";0.000000;0.000000;0.000000
0.000000;"7";"3";0.000000;0.000000;0.000000
0.000000;"0";"4";0.000000;0.000000;0.000000
0.000000;"1";"4";0.000000;0.000000;0.000000
0.000000;"2";"4";0.000000;0.000000;0.000000
0.000000;"3";"4";0.000000;0.000000;0.000000
0.000000;"4";"4";0.125000;0.000000;0.000000
0.000000;"5";"4";0.000000;0.000000;0.000000
0.000000;"6";"4";0.000000;0.000000;0.000000
0.000000;"7";"4";0.000000;0.000000;0.000000
0.000000;"0";"5";0.000000;0.000000;0.000000
0.000000;"1";"5";0.000000;0.000000;0.000000
0.000000;"2";"5";0.000000;0.000000;0.000000
0.000000;"3";"5";0.000000;0.000000;0.000000
0.000000;"4";"5";0.000000;0.000000;0.000000
0.000000;"5";"5";0.125000;0.000000;0.000000
0.000000;"6";"5";0.000000;0.000000;0.000000
0.000000;"7";"5";0.000000;0.000000;0.000000
0.000000;"0";"6";0.000000;0.000000;0.000000
0.000000;"1";"6";0.000000;0.000000;0.000000
0.000000;"2";"6";0.000000;0.000000;0.000000
0.000000;"3";"6";0.000000;0.000000;0.000000
0.000000;"4";"6";0.000000;0.000000;0.000000
0.000000;"5";"6";0.000000;0.000000;0.000000
0.000000;"6";"6";0.125000;0.000000;0.000000
0.000000;"7";"6";0.000000;0.000000;0.000000
0.000000;"0";"7";0.000000;0.000000;0.000000
0.000000;"1";"7";0.000000;0.000000;0.000000
0.000000;"2";"7";0.000000;0.000000;0.000000
0.000000;"3";"7";0.000000;0.000000;0.000000
0.000000;"4";"7";0.000000;0.000000;0.000000
0.000000;"5";"7";0.000000;0.000000;0.000000
0.000000;"6";"7";0.000000;0.000000;0.000000
0.000000;"7";"7";0.125000;0.000000;0.000000
0.000977;"0";"0";0.125000;0.000000;0.000000
0.000977;"1,2,3,4,5,6,7";"0";0.000000;0.000000;0.095238
0.000977;"1";"1";0.125000;0.000000;0.000000
0.000977;"0,2,3,4,5,6,7";"1";0.000000;0.000000;0.095238
0.000977;"2";"2";0.125000;0.000000;0.000000
0.000977;"0,1,3,4,5,6,7";"2";0.000000;0.000000;0.095238
0.000977;"3";"3";0.125000;0.000000;0.000000
0.000977;"0,1,2,4,5,6,7";"3";0.000000;0.000000;0.095238
0.000977;"4";"4";0.125000;0.000000;0.000000
0.000977;"0,1,2,3,5,6,7";"4";0.000000;0.000000;0.095238
0.000977;"5";"5";0.125000;0.000000;0.000000
0.000977;"0,1,2,3,4,6,7";"5";0.000000;0.000000;0.095238
0.000977;"6";"6";0.125000;0.000000;0.000000
0.000977;"0,1,2,3,4,5,7";"6";0.000000;0.000000;0.095238
0.000977;"0,1,2,3,4,5,6";"7";0.000000;0.000000;0.095238
0.000977;"7";"7";0.125000;0.000000;0.000000
0.724609;"3,4";"3,4";0.250000;0.083333;0.047619
0.724609;"0,1,2,5,6,7";"3,4";0.000000;0.000000;0.174603
0.724609;"2,5";"2,5";0.250000;0.083333;0.047619
0.724609;"0,1,3,4,6,7";"2,5";0.000000;0.000000;0.174603
0.724609;"1,6";"1,6";0.250000;0.083333;0.047619
0.724609;"0,2,3,4,5,7";"1,6";0.000000;0.000000;0.174603
0.724609;"1,2,3,4,5,6";"0,7";0.000000;0.000000;0.174603
0.724609;"0,7";"0,7";0.250000;0.083333;0.047619
0.822266;"3,4,5";"3,4,5";0.375000;0.198120;0.126984
0.822266;"0,1,2,6,7";"3,4,5";0.000000;0.000000;0.222222
0.822266;"1,2,6";"1,2,6";0.375000;0.198120;0.126984
0.822266;"0,3,4,5,7";"1,2,6";0.000000;0.000000;0.222222
0.822266;"1,2,3,4,5,6";"0,7";0.000000;0.000000;0.174603
0.822266;"0,7";"0,7";0.250000;0.083333;0.047619
0.851562;"3,4,5";"3,4,5";0.375000;0.198120;0.126984
0.851562;"0,1,2,6,7";"3,4,5";0.000000;0.000000;0.222222
0.851562;"2,6";"2,6";0.250000;0.083333;0.047619
0.851562;"0,1,3,4,5,7";"2,6";0.000000;0.000000;0.174603
0.851562;"2,3,4,5,6";"0,1,7";0.000000;0.000000;0.222222
0.851562;"0,1,7";"0,1,7";0.375000;0.198120;0.126984
0.852539;"3,4,5";"3,4,5";0.375000;0.198120;0.126984
0.852539;"0,1,2,6,7";"3,4,5";0.000000;0.000000;0.222222
0.852539;"1,2,6";"1,2,6";0.375000;0.198120;0.126984
0.852539;"0,3,4,5,7";"1,2,6";0.000000;0.000000;0.222222
0.852539;"1,2,3,4,5,6";"0,7";0.000000;0.000000;0.174603
0.852539;"0,7";"0,7";0.250000;0.083333;0.047619
0.855469;"3,4,5,6";"3,4,5,6";0.500000;0.333333;0.238095
0.855469;"0,1,2,7";"3,4,5,6";0.000000;0.000000;0.238095
0.855469;"3,4,5,6";"0,1,2,7";0.000000;0.000000;0.238095
0.855469;"0,1,2,7";"0,1,2,7";0.500000;0.333333;0.238095
0.875977;"0,1,2,3,4,5,6,7";"0,1,2,3,4,5,6,7";1.000000;1.000000;1.000000
